ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Age_Group,Income_Range,Total_Campain_Acceptance
2174,1954,Graduation,Single,46344,1,1,08/03/2014,38,11,1,6,2,1,6,2,1,1,2,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,69,"(65, 75]",High,0
6182,1984,Graduation,Together,26646,1,0,10/02/2014,26,11,4,20,10,3,5,2,2,0,4,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,39,"(35, 45]",Low,0
6177,1985,PhD,Married,33454,1,0,08/05/2013,32,76,10,56,3,1,23,2,4,0,4,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,38,"(35, 45]",Medium,0
4855,1974,PhD,Together,30351,1,0,06/06/2013,19,14,0,24,3,3,2,1,3,0,2,9,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Accepted,49,"(45, 55]",Medium,0
387,1976,Basic,Married,7500,0,0,13/11/2012,59,6,16,11,11,1,16,1,2,0,3,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,47,"(45, 55]",Low,0
8180,1952,Master,Divorced,59354,1,1,15/11/2013,53,233,2,53,3,5,14,3,6,1,5,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,71,"(65, 75]",High,0
2569,1987,Graduation,Married,17323,0,0,10/10/2012,38,3,14,17,6,1,5,1,1,0,3,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,36,"(35, 45]",Low,0
9736,1980,Graduation,Married,41850,1,1,24/12/2012,51,53,5,19,2,13,4,3,3,0,3,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,43,"(35, 45]",High,0
2278,1985,2n Cycle,Single,33812,1,0,03/11/2012,86,4,17,19,30,24,39,2,2,1,3,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,38,"(35, 45]",Medium,0
7892,1969,Graduation,Single,18589,0,0,02/01/2013,89,6,4,25,15,12,13,2,2,1,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,54,"(45, 55]",Low,0
2404,1976,Graduation,Married,53359,1,1,27/05/2013,4,173,4,30,3,6,41,4,5,1,4,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,47,"(45, 55]",High,0
9422,1989,Graduation,Married,38360,1,0,31/05/2013,26,36,2,42,20,21,10,2,2,1,4,3,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,34,"(25, 35]",Medium,0
6864,1989,Master,Divorced,10979,0,0,22/05/2014,34,8,4,10,2,2,4,2,3,0,3,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,34,"(25, 35]",Low,0
5710,1970,Graduation,Together,40548,0,1,10/10/2012,31,110,0,5,2,0,3,2,2,1,4,5,Not Accepted,Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,53,"(45, 55]",High,1
10738,1951,Master,Single,49389,1,1,29/08/2013,55,40,0,19,2,1,3,1,2,0,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,72,"(65, 75]",High,0
10755,1976,2n Cycle,Married,23718,1,0,02/09/2013,76,6,3,14,15,7,36,3,3,1,2,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,47,"(45, 55]",Low,0
8595,1973,Graduation,Widow,42429,0,1,11/02/2014,99,55,0,6,2,0,4,2,1,1,3,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,50,"(45, 55]",High,0
503,1985,Master,Married,20559,1,0,12/03/2013,88,13,1,29,3,0,7,2,2,0,3,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,38,"(35, 45]",Low,0
8430,1957,Graduation,Together,21994,0,1,24/12/2012,4,9,0,6,3,1,3,1,0,0,3,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,66,"(65, 75]",Low,0
2139,1975,Master,Married,7500,1,0,02/10/2013,19,3,1,10,3,2,12,3,2,0,3,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,48,"(45, 55]",Low,0
9909,1996,2n Cycle,Married,7500,0,0,09/11/2012,24,3,18,14,15,22,50,3,3,1,3,9,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Accepted,27,"(25, 35]",Low,0
7286,1968,Graduation,Together,41728,1,0,24/05/2013,92,13,6,15,3,5,13,1,2,0,2,10,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,55,"(45, 55]",High,0
1331,1977,Graduation,Single,35790,1,0,02/01/2013,54,12,6,20,30,1,3,2,2,0,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,46,"(45, 55]",Medium,0
7437,1988,Graduation,Single,27938,1,0,28/04/2014,31,13,0,8,2,1,5,1,1,0,4,3,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,35,"(25, 35]",Low,0
8082,1971,Graduation,Married,25721,1,0,21/05/2013,75,1,3,6,3,6,15,1,1,1,2,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Accepted,52,"(45, 55]",Low,0
1386,1967,Graduation,Together,32474,1,1,11/05/2014,0,10,0,1,0,0,0,1,1,0,2,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,56,"(55, 65]",Medium,0
1050,1952,Graduation,Married,28332,0,0,30/04/2014,58,14,10,13,4,15,9,1,2,1,4,2,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,71,"(65, 75]",Low,0
5846,1977,Graduation,Divorced,40246,1,0,19/12/2012,68,2,1,6,2,1,1,1,1,0,2,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,46,"(45, 55]",High,0
10401,1976,2n Cycle,Together,26326,0,0,04/09/2013,12,1,0,5,0,3,9,1,0,0,3,3,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,complained,Not Accepted,47,"(45, 55]",Low,0
3332,1985,Graduation,Single,29760,1,0,29/08/2012,87,64,4,68,7,5,17,4,3,1,4,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,38,"(35, 45]",Medium,0
2261,1969,Graduation,Married,26304,1,0,23/06/2013,5,4,1,5,2,0,4,1,1,0,2,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,54,"(45, 55]",Low,0
5346,1973,2n Cycle,Married,23559,1,0,03/07/2013,87,25,5,19,7,0,23,3,3,0,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,50,"(45, 55]",Low,0
5268,1960,Graduation,Married,29440,1,1,11/08/2013,95,17,8,14,10,4,3,2,1,0,4,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,63,"(55, 65]",Medium,0
273,1970,Master,Married,36138,1,1,16/07/2013,48,130,0,16,0,0,5,5,3,1,4,7,Not Accepted,Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,53,"(45, 55]",Medium,1
771,1967,Graduation,Together,54178,0,1,21/01/2014,79,135,9,39,4,0,7,1,2,2,5,2,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,56,"(55, 65]",High,0
11178,1972,Master,Single,42394,1,0,23/03/2014,69,15,2,10,0,1,4,1,1,0,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,51,"(45, 55]",High,0
2230,1970,PhD,Married,23626,1,0,24/05/2014,84,27,2,14,0,0,0,3,3,1,3,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,53,"(45, 55]",Low,0
7516,1983,Graduation,Married,30096,1,0,22/05/2014,30,5,3,11,12,5,9,1,2,0,3,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,40,"(35, 45]",Medium,0
11100,1972,Graduation,Divorced,51813,1,1,11/04/2013,37,51,2,7,0,1,2,2,2,0,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,51,"(45, 55]",High,0
1473,1960,2n Cycle,Single,47823,0,1,23/07/2013,0,53,1,5,2,1,10,2,2,0,3,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,63,"(55, 65]",High,0
1016,1959,PhD,Single,34554,0,1,30/03/2014,43,41,1,6,2,0,5,2,2,0,3,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,64,"(55, 65]",Medium,0
8373,1979,Basic,Together,24594,1,0,10/12/2013,94,1,3,6,10,0,9,1,1,0,3,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,44,"(35, 45]",Low,0
7533,1964,Graduation,Married,49096,1,1,24/09/2013,15,144,1,32,2,1,7,4,4,1,4,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,59,"(55, 65]",High,0
3629,1978,Graduation,Single,38557,1,0,19/12/2012,17,76,3,31,4,4,27,2,3,1,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,45,"(35, 45]",Medium,0
2286,1962,Graduation,Single,50785,1,1,10/09/2013,27,64,1,21,0,1,27,2,2,1,3,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,61,"(55, 65]",High,0
5234,1967,2n Cycle,Together,30753,1,1,11/07/2013,85,12,5,25,0,9,30,2,1,1,3,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,56,"(55, 65]",Medium,0
9862,1969,Graduation,Together,21918,1,0,14/11/2013,37,1,6,7,11,5,3,2,2,0,3,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,54,"(45, 55]",Low,0
6205,1967,Master,Single,32557,1,0,24/02/2014,13,34,3,29,0,4,10,3,2,1,3,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Accepted,56,"(55, 65]",Medium,0
8442,1985,Master,Married,19510,2,0,04/09/2013,63,9,0,7,3,4,7,2,1,0,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,38,"(35, 45]",Low,0
7386,1976,Graduation,Divorced,30992,1,0,22/04/2013,83,17,0,14,7,3,2,1,1,0,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,47,"(45, 55]",Medium,0
3381,1953,Master,Married,54348,1,1,08/06/2014,51,70,0,16,0,0,4,2,2,0,4,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,70,"(65, 75]",High,0
5290,1964,PhD,Married,41551,1,1,14/08/2013,51,220,0,33,3,0,23,5,5,1,5,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,59,"(55, 65]",High,0
5342,1976,Basic,Divorced,9548,1,0,08/08/2012,31,0,1,3,10,6,9,2,1,0,3,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,47,"(45, 55]",Low,0
9579,1959,PhD,Married,33762,2,1,07/07/2013,61,53,1,34,2,0,16,3,2,2,2,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,64,"(55, 65]",Medium,0
7660,1973,PhD,Alone,35860,1,1,19/05/2014,37,15,0,8,4,2,20,2,1,1,2,5,Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Accepted,50,"(45, 55]",Medium,1
1461,1965,PhD,Divorced,36921,1,1,28/07/2013,74,17,1,12,3,1,4,2,2,0,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,58,"(55, 65]",Medium,0
10837,1975,Graduation,Married,23957,1,0,28/10/2012,47,2,1,18,20,11,16,1,2,0,3,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Accepted,48,"(45, 55]",Low,0
3120,1981,Graduation,Together,38547,1,0,28/08/2013,49,6,1,10,0,1,4,1,1,0,2,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,complained,Not Accepted,42,"(35, 45]",Medium,0
4050,1966,Master,Married,49605,0,0,21/06/2014,65,42,16,29,12,20,8,1,2,1,4,3,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,57,"(55, 65]",High,0
92,1988,Graduation,Alone,34176,1,0,12/05/2014,12,5,7,24,19,14,20,4,3,0,4,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,35,"(25, 35]",Medium,0
3025,1958,Graduation,Single,49967,0,1,08/07/2013,4,212,6,69,4,12,3,3,6,1,5,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,65,"(55, 65]",High,0
9283,1978,Graduation,Single,60199,1,2,12/09/2013,49,8,1,7,2,0,0,1,0,0,3,4,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,45,"(35, 45]",High,0
2795,1958,Master,Single,30523,2,1,01/07/2013,0,5,0,3,0,0,5,1,1,0,2,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,65,"(55, 65]",Medium,0
8182,1984,Graduation,Married,23228,1,0,05/01/2014,91,53,3,49,7,4,5,4,3,0,4,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,39,"(35, 45]",Low,0
4370,1966,Graduation,Together,43482,2,1,13/11/2013,83,18,1,32,6,3,28,3,2,0,4,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,57,"(55, 65]",High,0
3152,1957,Graduation,Together,26091,1,1,25/02/2014,84,15,10,19,8,17,20,3,2,1,3,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,66,"(65, 75]",Low,0
5610,1965,Graduation,Together,33456,1,1,21/04/2014,58,7,3,10,8,1,7,2,1,0,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,58,"(55, 65]",Medium,0
6460,1982,Graduation,Married,28718,1,0,13/07/2013,78,12,4,6,11,8,16,2,2,0,3,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,41,"(35, 45]",Low,0
